,is_fake,emoji
142,0,{}
143,0,{}
144,0,{}
145,0,{'⛈️': 'cloud with lightning and rain'}
146,0,{}
147,0,{}
148,0,{}
149,0,{}
150,0,{}
151,0,{}
152,0,{}
153,0,{}
154,0,{}
155,0,{}
156,0,{}
157,0,{}
158,0,{}
159,0,{}
160,0,{}
161,0,{}
162,0,{}
163,0,{}
164,0,{}
165,0,{}
166,0,{}
167,0,{}
168,0,{}
169,0,{}
170,0,{}
171,0,{}
172,0,{}
173,0,{}
174,0,{}
175,0,{}
176,0,{}
177,0,{}
178,0,{}
179,0,{}
180,0,{}
181,0,{}
182,0,{}
183,0,{}
184,0,{}
185,0,{}
186,0,{}
187,0,{}
188,0,{}
189,0,{}
190,0,{}
191,0,{}
192,0,{}
193,0,{}
194,0,{}
195,0,{}
196,0,{}
197,0,{}
198,0,{}
199,0,{}
200,0,{}
201,0,{'❤️': 'red heart'}
202,0,{}
203,0,{}
204,0,{}
205,0,{}
206,0,{}
207,0,{'😚': 'kissing face with closed eyes'}
208,0,{'📸': 'camera with flash'}
209,0,{}
210,0,{}
211,0,{}
212,0,{}
213,0,{}
214,0,{}
215,0,{}
216,0,{}
217,0,{}
218,0,{}
219,0,{}
220,0,{}
221,0,{}
222,0,"{'😓': 'downcast face with sweat', '🎉': 'party popper', '🥳': 'partying face'}"
223,0,{'☺️': 'smiling face'}
224,0,{'🤙🏻': 'call me hand: light skin tone'}
225,0,{}
226,0,{}
227,0,{}
228,0,{}
229,0,{}
230,0,{'🥳': 'partying face'}
231,0,{'😊': 'smiling face with smiling eyes'}
232,0,"{'🤭': 'face with hand over mouth', '🙌': 'raising hands', '🤪': 'zany face'}"
233,0,"{'🤙🏻': 'call me hand: light skin tone', '🌊': 'water wave'}"
234,0,{}
235,0,{}
236,0,{'😀': 'grinning face'}
237,0,{}
238,0,{}
239,0,{'🥳': 'partying face'}
240,0,"{'😤': 'face with steam from nose', '🤪': 'zany face', '🤡': 'clown face'}"
241,0,{}
242,0,{'✅': 'check mark button'}
243,0,{}
244,0,{'❤️': 'red heart'}
245,0,{}
246,0,{}
247,0,{'⛄': 'snowman without snow'}
248,0,{}
249,0,{'🎂': 'birthday cake'}
250,0,{}
251,0,{}
252,0,{}
253,0,{'⚔️': 'crossed swords'}
254,0,{}
255,0,{}
256,0,{}
257,0,{}
258,0,{}
259,0,{}
260,0,{'❤️': 'red heart'}
261,0,{}
262,0,{}
263,0,{}
264,0,{}
265,0,{}
266,0,{}
267,0,{}
268,0,{}
269,0,{}
270,0,{}
271,0,{}
272,0,{}
273,0,{}
274,0,{}
275,0,{}
276,0,"{'🇨🇦': 'flag: Canada', '🏴\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f': 'flag: Wales', '🇺🇸': 'flag: United States'}"
277,0,{}
278,0,{}
279,0,{'📷': 'camera'}
280,0,{}
281,0,{}
282,0,{}
283,0,{'🏴\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f': 'flag: Wales'}
284,0,{}
285,0,{'🔥': 'fire'}
286,0,{'👏🏼': 'clapping hands: medium-light skin tone'}
287,0,{}
288,0,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
289,0,{}
290,0,{}
291,0,{}
292,0,{}
293,0,{}
294,0,{}
295,0,{}
296,0,{'🇺🇦': 'flag: Ukraine'}
297,0,{}
298,0,{}
299,0,"{'😂': 'face with tears of joy', '😔': 'pensive face'}"
300,0,{}
301,0,{}
302,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
303,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
304,0,{'🔥': 'fire'}
305,0,{'💪': 'flexed biceps'}
306,0,"{'⚽': 'soccer ball', '😌': 'relieved face'}"
307,0,{}
308,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
309,0,"{'🇵🇹': 'flag: Portugal', '✈️': 'airplane'}"
310,0,"{'❤️': 'red heart', '💙': 'blue heart'}"
311,0,"{'💚': 'green heart', '🙏': 'folded hands', '💙': 'blue heart', '💛': 'yellow heart'}"
312,0,{}
313,0,{'😍': 'smiling face with heart-eyes'}
314,0,"{'💚': 'green heart', '💙': 'blue heart', '💛': 'yellow heart'}"
315,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
316,0,"{'⚽': 'soccer ball', '🇧🇷': 'flag: Brazil', '😉': 'winking face'}"
317,0,"{'⚽': 'soccer ball', '❤️': 'red heart', '🇧🇷': 'flag: Brazil'}"
318,0,{}
319,0,{'🙏': 'folded hands'}
320,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
321,0,{'🔥': 'fire'}
322,0,{'🇧🇷': 'flag: Brazil'}
323,0,{'🐦': 'bird'}
324,0,"{'💚': 'green heart', '💙': 'blue heart', '💛': 'yellow heart'}"
325,0,"{'💚': 'green heart', '🇧🇷': 'flag: Brazil', '💙': 'blue heart', '💛': 'yellow heart'}"
326,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
327,0,{'🔥': 'fire'}
328,0,"{'😝': 'squinting face with tongue', '🤚🏽': 'raised back of hand: medium skin tone', '✋🏽': 'raised hand: medium skin tone'}"
329,0,{}
330,0,"{'😝': 'squinting face with tongue', '🤚🏽': 'raised back of hand: medium skin tone', '✋🏽': 'raised hand: medium skin tone'}"
331,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
332,0,"{'👋🏽': 'waving hand: medium skin tone', '🏽': 'medium skin tone', '🤌🏽': 'pinched fingers: medium skin tone', '📷': 'camera'}"
333,0,{}
334,0,"{'😝': 'squinting face with tongue', '🤚🏽': 'raised back of hand: medium skin tone', '✋🏽': 'raised hand: medium skin tone'}"
335,0,{'🔥': 'fire'}
336,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
337,0,{'🔥': 'fire'}
338,0,{'😴': 'sleeping face'}
339,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
340,0,{'😂': 'face with tears of joy'}
341,0,"{'😝': 'squinting face with tongue', '🤚🏽': 'raised back of hand: medium skin tone', '✋🏽': 'raised hand: medium skin tone'}"
342,0,{'™': 'trade mark'}
343,0,{'🔥': 'fire'}
344,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
345,0,"{'😝': 'squinting face with tongue', '🤚🏽': 'raised back of hand: medium skin tone', '✋🏽': 'raised hand: medium skin tone'}"
346,0,"{'❤️': 'red heart', '🙏': 'folded hands'}"
347,0,{'🤔': 'thinking face'}
348,0,"{'❤️': 'red heart', '😍': 'smiling face with heart-eyes'}"
349,0,{'🤩': 'star-struck'}
350,0,"{'🌌': 'milky way', '✍️': 'writing hand'}"
351,0,{'😜': 'winking face with tongue'}
352,0,{'✍️': 'writing hand'}
353,0,{}
354,0,{'🌌': 'milky way'}
355,0,{'🕰️': 'mantelpiece clock'}
356,0,"{'💁\u200d♀️': 'woman tipping hand', '🌌': 'milky way'}"
357,0,{}
358,0,{'🥺': 'pleading face'}
359,0,"{'🗽': 'Statue of Liberty', '🥰': 'smiling face with hearts', '🥺': 'pleading face'}"
360,0,{}
361,0,{'🥺': 'pleading face'}
362,0,{}
363,0,{}
364,0,"{'🥰': 'smiling face with hearts', '🥲': 'smiling face with tear', '🎂': 'birthday cake'}"
365,0,{'🥂': 'clinking glasses'}
366,0,{}
367,0,{'📷': 'camera'}
368,0,{}
369,0,{'🙃': 'upside-down face'}
370,0,"{'🥰': 'smiling face with hearts', '🧣': 'scarf'}"
371,0,{'🥲': 'smiling face with tear'}
372,0,{}
373,0,{'🚨': 'police car light'}
374,0,{'😆': 'grinning squinting face'}
